function,module,impl_block
mul_c3_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
pow255_gt_19(),curve25519-dalek::specs::field_specs_u64,
RistrettoPoint::ct_eq(),curve25519-dalek::ristretto,
pow2_mul_div_mod_close_mod_u8_t51_cond(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
lemma_u8_32_as_nat_of_spec_fe51_to_bytes(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
MontgomeryPoint::mul_base_clamped(),curve25519-dalek::MontgomeryPoint<[u8;::montgomery,
lemma_square_internal_correct(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_load8_at_versions_equivalent(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
lemma_add_self_eq_double(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_mod_cancel(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_borrow_and_mask_bounded(),curve25519-dalek::lemmas::scalar_lemmas,
CompressedRistretto::decompress(),curve25519-dalek::ristretto,
conditional_assign_u64(),curve25519-dalek::backend::serial::u64::subtle_assumes,
conditional_negate_generic(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_affine_curve_implies_projective(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_mul_distributive_7_terms(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
lemma_binomial_divisible_by_prime(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_pow2k_to_field_element(),curve25519-dalek::lemmas::field_lemmas::invert_lemmas,
lemma_stage_division_theorem(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
lemma_u64_5_as_nat_k(),curve25519-dalek::lemmas::field_lemmas::u64_5_as_nat_lemmas,
LookupTable::fmt(),curve25519-dalek::window,
a3_0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
BatchCompressState::efgh(),curve25519-dalek::ristretto,
EdwardsPoint::sum(),curve25519-dalek::edwards,
radix16_odd_scalar(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_mul_c_i_0_bounded(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
FieldElement51::conditional_select(),curve25519-dalek::backend::serial::u64::field,
seq_from2(),curve25519-dalek::core_assumes,
lemma_scalar_subtract_no_overflow(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_u_zero_implies_identity_point(),curve25519-dalek::lemmas::edwards_lemmas::step1_lemmas,
spec_uniform_bytes_first(),curve25519-dalek::specs::ristretto_specs,
MontgomeryPoint::identity(),curve25519-dalek::montgomery,
mul_c0_0_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
lemma_edwards_scalar_mul_signed_canonical(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_pow2k_loop_value(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
field_square(),curve25519-dalek::specs::field_specs,
Sub::sub(),curve25519-dalek::ristretto,
JacobiPoint::dual(),curve25519-dalek::lizard::jacobi_quartic,
spec_negate(),curve25519-dalek::specs::field_specs_u64,
lemma_field_mul_square_canonical(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
Scalar52::add(),curve25519-dalek::backend::serial::u64::scalar,
lemma_from_montgomery_limbs_conversion(),curve25519-dalek::lemmas::scalar_lemmas,
LookupTable::default(),curve25519-dalek::window,
collect_ristretto_points(),curve25519-dalek::specs::iterator_specs,
collect_edwards_from_ristretto_iter(),curve25519-dalek::specs::iterator_specs,
edwards_add(),curve25519-dalek::specs::edwards_specs,
