function,module,impl_block
lemma_field_add_16p_no_overflow(),curve25519-dalek::lemmas::field_lemmas::add_lemmas,
lemma_even_sum_up_to_correct(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
EdwardsPoint::conditional_select(),curve25519-dalek::edwards,
lemma_bound_scalar(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_u64_shl_low_bits(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
c3_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_pow2_chain_multipliers(),curve25519-dalek::lemmas::montgomery_pow_chain_lemmas,
lemma_l_limb4_is_pow2_44(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
RistrettoPoint::to_jacobi_quartic_ristretto(),curve25519-dalek::RistrettoPoint#RistrettoPoint<[JacobiPoint;::lizard::lizard_ristretto,
lemma_four_factor_rearrange(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
axiom_neg_distributes_over_add(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_mul_quad_prod(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
fe51_is_sqrt_ratio(),curve25519-dalek::specs::field_specs,
lemma_montgomery_inverse(),curve25519-dalek::lemmas::scalar_lemmas,
conditional_swap_montgomery_projective(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lookup_table_affine_limbs_bounded(),curve25519-dalek::specs::window_specs,
spec_identity_projective_point_edwards(),curve25519-dalek::specs::edwards_specs,
lemma_load8_at_plus_version_rec_is_bounded(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
lemma_bytes_seq_as_nat_equals_prefix(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_no_square_root_when_times_i(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
NafLookupTable5::from(),curve25519-dalek::window,
lemma_prefix_equals_suffix_full(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_projective_represents_implies_u_coordinate(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_euler_criterion(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
axiom_edwards_to_montgomery_commutes_with_scalar_mul(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_pow_2_is_mul(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
pow2_MUL_div(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
AffineNielsPoint::conditional_select(),curve25519-dalek::backend::serial::curve_models,
naf_lookup_table8_affine_limbs_bounded(),curve25519-dalek::specs::window_specs,
axiom_xadd_projective_correct(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
montgomery_reduce_input_bounds(),curve25519-dalek::specs::montgomery_reduce_specs,
MontgomeryPoint::zeroize(),curve25519-dalek::montgomery,
binomial_sum(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_odd_sum_up_to_canonical(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
radix_16_all_bounded(),curve25519-dalek::specs::scalar_specs,
lemma_canonical_sqrt_zero(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
RistrettoPoint::multiscalar_mul_verus(),curve25519-dalek::ristretto,
words64_from_bytes_to_nat(),curve25519-dalek::specs::core_specs,
lemma_mul_by_minus_one_is_negation(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
Scalar::hash_from_bytes(),curve25519-dalek::scalar,
Scalar::from(),curve25519-dalek::scalar,
first_32_bytes(),curve25519-dalek::core_assumes,
sum_of_scalars(),curve25519-dalek::specs::scalar_specs,
lemma_field_add_comm(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
ct_option_is_some(),curve25519-dalek::backend::serial::u64::subtle_assumes,
EdwardsPoint::mul_clamped(),curve25519-dalek::EdwardsPoint#EdwardsPoint<[u8;::edwards,
FieldElement51::conditional_swap(),curve25519-dalek::backend::serial::u64::field,
nine_limbs_to_nat_aux(),curve25519-dalek::specs::scalar52_specs,
lemma_check_fourth_root_pattern(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
RistrettoPoint::sum_original(),curve25519-dalek::ristretto,
spec_negate_projective_niels(),curve25519-dalek::specs::edwards_specs,
field_sqrt(),curve25519-dalek::specs::field_specs,
Scalar::hash_from_bytes_verus(),curve25519-dalek::scalar,
RistrettoPoint::multiscalar_mul(),curve25519-dalek::ristretto,
lemma_pow2_mul_div_mod_small_mul(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
lemma_nat_zero_implies_all_zero_bytes(),curve25519-dalek::lemmas::field_lemmas::batch_invert_lemmas,
montgomery_corresponds_to_edwards(),curve25519-dalek::specs::montgomery_specs,
lemma_is_sqrt_ratio_to_field(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
lemma_montgomery_a_neg_limbs_bounded_51(),curve25519-dalek::lemmas::field_lemmas::constants_lemmas,
RistrettoPoint::mul_assign(),curve25519-dalek::ristretto,
EdwardsPoint::to_montgomery(),curve25519-dalek::edwards,
montgomery_invert_chain_exponent(),curve25519-dalek::lemmas::montgomery_pow_chain_lemmas,
EdwardsPoint::as_projective_niels(),curve25519-dalek::edwards,
lemma_neg_sum_mod(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_naf_wrapping_sub_correct(),curve25519-dalek::lemmas::scalar_lemmas_::naf_lemmas,
is_ristretto_coset(),curve25519-dalek::specs::ristretto_specs,
lemma_field_mul_distributes_over_sub_right(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
VartimeEdwardsPrecomputation::new(),curve25519-dalek::edwards,
lemma_radix51_telescoping_direct(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
affine_projective_point_montgomery(),curve25519-dalek::specs::montgomery_specs,
CompletedPoint::fmt(),curve25519-dalek::backend::serial::curve_models,
edwards_scalar_mul(),curve25519-dalek::specs::edwards_specs,
lemma_u64x4_mod_strip_above(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
axiom_basepoint_on_curve(),curve25519-dalek::specs::edwards_specs,
has_inv_mod_p(),curve25519-dalek::specs::field_specs,
ristretto_equivalent(),curve25519-dalek::specs::ristretto_specs,
seq_from8(),curve25519-dalek::core_assumes,
lemma_sum_equals_byte_nat(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
CompressedEdwardsY::is_identity_spec(),curve25519-dalek::edwards,
five_limbs_to_nat_aux(),curve25519-dalek::specs::scalar52_specs,
spec_negate_affine_niels(),curve25519-dalek::specs::edwards_specs,
conditional_swap_u64(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_factor_result_component_add(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_low_limbs_encode_low_expr(),curve25519-dalek::lemmas::scalar_lemmas_extra,
p(),curve25519-dalek::specs::field_specs_u64,
u32_from_le_bytes(),curve25519-dalek::core_assumes,
lemma_identity_is_valid_extended(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_is_canonical_correctness(),curve25519-dalek::lemmas::scalar_lemmas,
word64_from_bytes_partial(),curve25519-dalek::specs::core_specs,
straus_multiscalar_mul(),curve25519-dalek::backend,
bot_half(),curve25519-dalek::scalar,
square_multiply(),curve25519-dalek::scalar,
lemma_carry_shift_to_nat(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
is_in_even_subgroup(),curve25519-dalek::specs::ristretto_specs,
Mul::mul(),curve25519-dalek::ristretto,
lemma_pow2_mul_div(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
group_order(),curve25519-dalek::specs::scalar52_specs,
lemma_nat_distributive(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
EdwardsPoint::sub_assign(),curve25519-dalek::edwards,
step_1(),curve25519-dalek::edwards::decompress,
seq_from32(),curve25519-dalek::core_assumes,
p_gt_2(),curve25519-dalek::specs::field_specs_u64,
montgomery_scalar_mul(),curve25519-dalek::specs::montgomery_specs,
lemma_decompose(),curve25519-dalek::lemmas::scalar_lemmas,
ProjectiveNielsPoint::default(),curve25519-dalek::backend::serial::curve_models,
test_lizard_constants(),curve25519-dalek::lizard::lizard_constants::test,
lemma_add_bounds_propagate(),curve25519-dalek::lemmas::field_lemmas::add_lemmas,
is_inverse_field_of_nat(),curve25519-dalek::specs::field_specs,
lemma_mul_commutative_8_terms(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
lemma_suffix_zero_when_bytes_zero(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_five_limbs_equals_to_nat(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_field_mul_neg(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
limb1_byte_contribution_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
lemma_mod_sub_eq_implies_zero(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_lo_limbs_bounded(),curve25519-dalek::lemmas::scalar_lemmas_extra,
lemma_limb3_contribution_correctness_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
lemma_prefix_equals_suffix_partial(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
FieldElement51::mul_assign(),curve25519-dalek::backend::serial::u64::field,
add(),curve25519-dalek::lemmas::common_lemmas::sum_lemmas,
spec_projective_point_montgomery(),curve25519-dalek::specs::montgomery_specs,
spec_identity_projective_niels(),curve25519-dalek::specs::edwards_specs,
lemma_mul_le_implies_div_le(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
EdwardsPoint::multiscalar_mul(),curve25519-dalek::edwards,
negate_affine_niels(),curve25519-dalek::specs::edwards_specs,
lemma_pippenger_partial_step_odd(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_canonical_bytes_bit255_zero(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
lemma_pippenger_sum_correct(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
EdwardsPoint::nonspec_map_to_curve_verus(),curve25519-dalek::edwards,
pow2_mul_div_mod_small_mul_u8_t51_cond(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
spec_montgomery_to_edwards_affine(),curve25519-dalek::specs::edwards_specs,
lemma_limb2_contribution_correctness_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
spec_ed25519_basepoint(),curve25519-dalek::specs::edwards_specs,
lemma_negation_preserves_extended_validity(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_to_bytes_reduction(),curve25519-dalek::lemmas::field_lemmas::to_bytes_reduction_lemmas,
completed_point_as_affine_edwards(),curve25519-dalek::specs::edwards_specs,
ct_eq_bytes32(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_mul_le(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
lemma_seq_eq_implies_array_eq(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
RistrettoPoint::default(),curve25519-dalek::ristretto,
lemma_pow22501_prove_t3(),curve25519-dalek::lemmas::field_lemmas::pow22501_t3_lemma,
ProjectiveNielsPoint::conditional_select(),curve25519-dalek::backend::serial::curve_models,
EdwardsPoint::mul_base_clamped(),curve25519-dalek::EdwardsPoint<[u8;::edwards,
RistrettoPoint::fmt(),curve25519-dalek::ristretto,
Scalar52::zeroize(),curve25519-dalek::backend::serial::u64::scalar,
ct_option_is_none(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_reduce_bound_2p(),curve25519-dalek::lemmas::field_lemmas::reduce_lemmas,
spec_optional_points_from_iter(),curve25519-dalek::specs::iterator_specs,
conditional_assign_generic(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_bits_from_index_split(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
lemma_field_inv_one(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_carry_bounded_after_mask(),curve25519-dalek::lemmas::scalar_lemmas,
Scalar::index(),curve25519-dalek::scalar,
Identity::identity(),"curve25519-dalek::Self:::::::::Identity<Self
where
::traits",
test_edwards_d2_is_double_d(),curve25519-dalek::constants::test,
lemma_field_diff_of_squares(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
is_valid_edwards_point(),curve25519-dalek::specs::edwards_specs,
lemma_div_strictly_bounded(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
axiom_edwards_add_complete(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_field_neg_neg(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_carry8_bound(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
lemma_eps_when_d_is_minus_one(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
spec_completed_point(),curve25519-dalek::specs::edwards_specs,
lemma_words_as_nat_equals_bytes(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
Mul::mul(),curve25519-dalek::montgomery,
lemma_bits_from_bytes_eq_u8_32_as_nat(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
carry_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_load8_at_limb3(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
Scalar::conditional_select(),curve25519-dalek::scalar,
MontgomeryPoint::ct_eq(),curve25519-dalek::montgomery,
lemma_u64x4_lower_words_bounded(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
ct_eq_limbs5(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_l_value_properties(),curve25519-dalek::lemmas::scalar_lemmas,
math_is_valid_extended_edwards_point(),curve25519-dalek::specs::edwards_specs,
Scalar52::as_bytes(),curve25519-dalek::Scalar52#Scalar52<[u8;::backend::serial::u64::scalar,
MontgomeryPoint::mul_base(),curve25519-dalek::montgomery,
u64_to_le_bytes(),curve25519-dalek::core_assumes,
spec_uniform_bytes_second(),curve25519-dalek::specs::ristretto_specs,
lemma_carry_out_equals_q(),curve25519-dalek::lemmas::field_lemmas::to_bytes_reduction_lemmas,
lemma_segre_t_derivation(),curve25519-dalek::lemmas::edwards_lemmas::niels_addition_correctness,
u64_5_as_field_canonical(),curve25519-dalek::specs::field_specs_u64,
Neg::neg(),curve25519-dalek::backend::serial::curve_models,
lemma_limbs_to_bytes(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
lemma_mult_maps_to_nonzero(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_part1_telescoping_expansion(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_part1_chain_lemmas,
CompressedRistretto::from_slice(),curve25519-dalek::ristretto,
lemma_mul_lt(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
limbs_bounded(),curve25519-dalek::specs::scalar52_specs,
lemma_hi_limbs_bounded(),curve25519-dalek::lemmas::scalar_lemmas_extra,
mul_out_val_boundaries(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
ct_eq_u8(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_minus_one_limbs_bounded_51(),curve25519-dalek::lemmas::field_lemmas::constants_lemmas,
lemma_scalar_as_nat_basepoint_order_private_equals_group_order(),curve25519-dalek::lemmas::edwards_lemmas::constants_lemmas,
is_well_formed_edwards_point(),curve25519-dalek::specs::edwards_specs,
lemma_add_affine_niels_completed_valid(),curve25519-dalek::lemmas::edwards_lemmas::niels_addition_correctness,
zeroize_bool(),curve25519-dalek::core_assumes,
lemma_product_of_multiples_eq(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
math_on_montgomery_curve(),curve25519-dalek::specs::montgomery_specs,
mul_c4_0_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
Sub::sub(),curve25519-dalek::backend::serial::curve_models,
bits_be_as_nat(),curve25519-dalek::specs::core_specs,
limb3_byte_contribution_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
lemma_mul_upper_bound(),curve25519-dalek::lemmas::field_lemmas::to_bytes_reduction_lemmas,
choice_into(),curve25519-dalek::backend::serial::u64::subtle_assumes,
bit_arrange(),curve25519-dalek::specs::field_specs_u64,
montgomery_reduce_canonical_bound(),curve25519-dalek::specs::montgomery_reduce_specs,
lemma_sqrt_m1_nonzero(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
lemma_all_carries_bounded_by_3(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
lemma_fourth_root_of_unity(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
axiom_gcd_symmetric(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
RistrettoPoint::compress(),curve25519-dalek::ristretto,
lemma_sqrt_ratio_correctness(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
ProjectivePoint::is_identity_spec(),curve25519-dalek::montgomery,
lemma_montgomery_scalar_mul_add(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
test_lizard_encode(),curve25519-dalek::lizard::lizard_ristretto::test,
c1_0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
montgomery_rhs(),curve25519-dalek::specs::montgomery_specs,
test_486660_not_qr(),curve25519-dalek::lemmas::montgomery_curve_lemmas::test_qr_axioms,
lemma_as_bytes_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
axiom_montgomery_valid_u_implies_edwards_y_valid(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_u8_32_as_nat_equals_suffix_64(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_gcd_with_prime(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
test_edwards_basepoint_maps_to_montgomery_9(),curve25519-dalek::lemmas::montgomery_curve_lemmas::test_qr_axioms,
step_2(),curve25519-dalek::edwards::decompress,
reconstruct_radix_2w(),curve25519-dalek::specs::scalar_specs,
RistrettoPoint::lizard_encode(),curve25519-dalek::RistrettoPoint<&[u8;::lizard::lizard_ristretto,
lemma_bits_as_nat_eq_bits_from_index(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
lemma_pippenger_partial_step_even(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_projective_product_factor(),curve25519-dalek::lemmas::edwards_lemmas::niels_addition_correctness,
lemma_square_internal_no_overflow(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_partial_product_full(),curve25519-dalek::lemmas::scalar_batch_invert_lemmas,
lemma_u8_32_as_nat_mod_truncates(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
spec_normalize_sign(),curve25519-dalek::specs::edwards_specs,
math_is_valid_y_coordinate(),curve25519-dalek::specs::edwards_specs,
lemma_canonical_bytes_equal(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
mul_c2_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
field_sub(),curve25519-dalek::specs::field_specs,
spec_u_coordinate(),curve25519-dalek::specs::montgomery_specs,
spec_edwards_decompress_from_y_and_sign(),curve25519-dalek::specs::edwards_specs,
spec_state_after_hash(),curve25519-dalek::core_assumes,
lemma_step1_curve_semantics(),curve25519-dalek::lemmas::edwards_lemmas::step1_lemmas,
lemma_binomial_n_1(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
VartimePrecomputedStraus::new(),curve25519-dalek::backend::serial::scalar_mul::precomputed_straus,
FieldElement51::from_bytes(),curve25519-dalek::FieldElement51<&[u8;::backend::serial::u64::field,
negate_field_element(),curve25519-dalek::backend::serial::u64::subtle_assumes,
test_basepoint_x_matches_rfc(),curve25519-dalek::specs::edwards_specs::basepoint_on_curve_tests,
lemma_add_then_shift(),curve25519-dalek::lemmas::field_lemmas::pow2_51_lemmas,
lemma_byte_from_limb_shift(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
lemma_field_sub_eq_add_neg(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_sub_correct_after_loops(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_low_bits_mask_increases(),curve25519-dalek::lemmas::common_lemmas::mask_lemmas,
math_is_edwards_identity(),curve25519-dalek::specs::edwards_specs,
lemma_negation_sums_to_zero(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_two_factoring(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
axiom_uniform_elligator_independent(),curve25519-dalek::specs::proba_specs,
lemma_decompress_valid_branch(),curve25519-dalek::lemmas::edwards_lemmas::decompress_lemmas,
VartimeRistrettoPrecomputation::optional_mixed_multiscalar_mul(),curve25519-dalek::ristretto,
lemma_high_low_recombine(),curve25519-dalek::lemmas::scalar_lemmas_extra,
lemma_mul_congruence(),curve25519-dalek::lemmas::scalar_batch_invert_lemmas,
is_canonical_scalar52(),curve25519-dalek::specs::scalar52_specs,
math_on_edwards_curve(),curve25519-dalek::specs::edwards_specs,
last_32_bytes(),curve25519-dalek::core_assumes,
lemma_reconstruct_radix_2w_split(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
axiom_gcd_mod_noop(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
CompressedEdwardsY::ct_eq(),curve25519-dalek::edwards,
lemma_spec_ristretto_roundtrip(),curve25519-dalek::specs::ristretto_specs,
limb0_byte_contribution_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
VartimePrecomputedStraus::optional_mixed_multiscalar_mul(),curve25519-dalek::backend,
is_valid_radix_16(),curve25519-dalek::specs::scalar_specs,
axiom_montgomery_add_identity_left(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
limb2_byte_contribution_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
lemma_edwards_scalar_mul_composition(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
mod_inv(),curve25519-dalek::lemmas::montgomery_curve_lemmas::test_qr_axioms,
Scalar52::index_mut(),curve25519-dalek::backend::serial::u64::scalar,
all_neg_limbs_positive(),curve25519-dalek::lemmas::field_lemmas::negate_lemmas,
lemma_r_limbs_bounded(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_mul_value(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
ProjectivePoint::double(),curve25519-dalek::backend::serial::curve_models,
lemma_identity_affine_coords(),curve25519-dalek::specs::edwards_specs,
lemma_c_i_0_bounded(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
limb4_byte_contribution(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
lemma_sqrt_ratio_success_means_valid_y(),curve25519-dalek::lemmas::edwards_lemmas::step1_lemmas,
lemma_rr_equals_radix_squared(),curve25519-dalek::lemmas::montgomery_lemmas,
lemma_prime_gt_2_is_odd(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_sqrt_ratio_zero_propagation(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
lemma_neg_one_times_is_neg(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
Scalar::from(),curve25519-dalek::scalar,
mul_c3_0_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
u128_to_le_bytes(),curve25519-dalek::core_assumes,
lemma_field_add_sub_rearrange(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
field_element_from_bytes(),curve25519-dalek::specs::field_specs,
lemma_fe51_limbs_bounded_weaken(),curve25519-dalek::lemmas::field_lemmas::add_lemmas,
Scalar::sum_of_slice(),curve25519-dalek::scalar_helpers,
lemma_quotient_of_squares(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
u64_4_as_nat(),curve25519-dalek::specs::scalar_specs,
lemma_valid_radix_16_implies_all_bounded(),curve25519-dalek::lemmas::scalar_lemmas_::radix16_lemmas,
lemma_pow_mod_congruent(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
lemma_from_montgomery_is_product_with_one(),curve25519-dalek::lemmas::scalar_montgomery_lemmas,
scalar_congruent_nat(),curve25519-dalek::specs::scalar_specs,
lemma_pippenger_sum_correct_signed(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_spec_load8_at_fits_u64(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
field_element(),curve25519-dalek::lizard::u64_constants,
lemma_edwards_add_identity_right(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
Scalar::default(),curve25519-dalek::scalar,
lemma_inv_of_product(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
a0_0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_p_divisibility_facts(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
term_product_bounds_spec(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
Scalar52::part2(),curve25519-dalek::backend::serial::u64::scalar,
select_u8(),curve25519-dalek::backend::serial::u64::subtle_assumes,
as_bytes_post(),curve25519-dalek::specs::field_specs,
EdwardsPoint::compress(),curve25519-dalek::edwards,
lemma_backward_step(),curve25519-dalek::lemmas::field_lemmas::batch_invert_lemmas,
Scalar::random(),curve25519-dalek::scalar,
CompressedEdwardsY::to_bytes(),curve25519-dalek::&CompressedEdwardsY#CompressedEdwardsY<[u8;::edwards,
lemma_load8_at_limb_base(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
determine_curve25519_dalek_bits_warning(),curve25519-dalek::deterministic,
EdwardsBasepointTable::clone(),curve25519-dalek::edwards,
mul(),curve25519-dalek::backend::serial::scalar_mul::vartime_double_base,
FieldElement51::eq(),curve25519-dalek::field,
lemma_part1_chain_divisibility(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_part1_chain_lemmas,
spec_scalars_from_iter(),curve25519-dalek::specs::iterator_specs,
lemma_to_edwards_correctness(),curve25519-dalek::lemmas::edwards_lemmas::decompress_lemmas,
lemma_is_negative_equals_parity(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
clamp_integer(),curve25519-dalek::scalar,
lemma_mul_distributive_5_terms(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
ProjectivePoint::conditional_select(),curve25519-dalek::montgomery,
test_basepoint_y_matches_rfc(),curve25519-dalek::specs::edwards_specs::basepoint_on_curve_tests,
Mul::mul(),curve25519-dalek::edwards,
lemma_nonzero_product(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_limbs_bounded_implies_limbs_bounded_for_sub(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_edwards_add_canonical(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
inv_montgomery_radix(),curve25519-dalek::specs::scalar52_specs,
axiom_2_times_486661_not_qr(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_field_add_add_recover_double(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
is_valid_edwards_basepoint_table(),curve25519-dalek::specs::edwards_specs,
field_canonical(),curve25519-dalek::specs::field_specs_u64,
slice128_to_nat(),curve25519-dalek::specs::scalar52_specs,
lemma_load8_at_limb_X(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
lemma_part2_bounds(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
MontgomeryPoint::is_identity_spec(),curve25519-dalek::montgomery,
