function,module,link,has_spec,has_proof
RistrettoPoint::elligator_ristretto_flavor,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1153,yes,
RistrettoPoint::from_hash_verus,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1342,yes,yes
RistrettoPoint::from_uniform_bytes,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1365,yes,
RistrettoPoint::hash_from_bytes_verus,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1292,yes,yes
RistrettoPoint::identity,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1444,yes,
RistrettoPoint::mul_assign,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1847,yes,yes
RistrettoPoint::mul_base,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1910,yes,
RistrettoPoint::multiscalar_mul_verus,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L2014,yes,yes
RistrettoPoint::neg,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1831,yes,yes
RistrettoPoint::optional_multiscalar_mul_verus,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L2068,yes,yes
RistrettoPoint::sub_assign,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1629,yes,yes
RistrettoPoint::sum,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1732,yes,yes
RistrettoPoint::sum_of_slice,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L1680,yes,yes
RistrettoPoint::vartime_double_scalar_mul_basepoint,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L2179,yes,yes
RistrettoPoint::zeroize,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L2455,yes,yes
Scalar52::add,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L555,yes,yes
Scalar52::as_bytes,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L501,yes,yes
Scalar52::as_montgomery,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L1977,yes,yes
Scalar52::conditional_add_l,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L672,yes,
Scalar52::from_bytes,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L162,yes,yes
Scalar52::from_bytes_wide,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L233,yes,yes
Scalar52::from_montgomery,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L2019,yes,yes
Scalar52::index,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L126,yes,yes
Scalar52::montgomery_mul,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L1887,yes,yes
Scalar52::montgomery_reduce,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L1095,yes,yes
Scalar52::montgomery_square,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L1934,yes,yes
Scalar52::mul,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L1719,yes,yes
Scalar52::mul_internal,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L937,yes,yes
Scalar52::part1,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L1606,yes,yes
Scalar52::part2,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L1697,yes,yes
Scalar52::square,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L1806,yes,yes
Scalar52::square_internal,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L997,yes,yes
Scalar52::sub,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L744,yes,yes
Scalar52::sub_new,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L644,yes,
Scalar52::zeroize,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L114,yes,yes
Scalar::add_assign,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L704,yes,yes
Scalar::as_bytes,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1601,yes,yes
Scalar::as_radix_16,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L2894,yes,yes
Scalar::as_radix_2w,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L3142,yes,yes
Scalar::batch_invert,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1699,yes,yes
Scalar::bits_le,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L2202,yes,yes
Scalar::ct_eq,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L472,yes,yes
Scalar::default,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1064,yes,yes
Scalar::eq,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L451,yes,yes
Scalar::from,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1133,yes,yes
Scalar::from,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1152,yes,yes
Scalar::from,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1188,yes,yes
Scalar::from,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1221,yes,yes
Scalar::from,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1274,yes,yes
Scalar::from_bytes_mod_order,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L271,yes,yes
Scalar::from_bytes_mod_order_wide,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L294,yes,yes
Scalar::from_canonical_bytes,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L353,yes,yes
Scalar::from_hash_verus,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1560,yes,yes
Scalar::hash_from_bytes_verus,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1484,yes,yes
Scalar::index,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L489,yes,yes
Scalar::invert,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1622,yes,yes
Scalar::is_canonical,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L3723,yes,yes
Scalar::mul_assign,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L510,yes,yes
Scalar::neg,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L968,yes,yes
Scalar::non_adjacent_form,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L2276,yes,yes
Scalar::product,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1021,yes,yes
Scalar::product_of_slice,curve25519_dalek::scalar_helpers,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar_helpers.rs#L82,yes,yes
Scalar::random,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1407,yes,yes
Scalar::reduce,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L3641,yes,yes
Scalar::sub_assign,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L827,yes,yes
Scalar::sum,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1052,yes,yes
Scalar::sum_of_slice,curve25519_dalek::scalar_helpers,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar_helpers.rs#L158,yes,yes
Scalar::to_bytes,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1582,yes,yes
Scalar::to_radix_2w_size_hint,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L3103,yes,yes
Scalar::unpack,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L3627,yes,yes
Scalar::zeroize,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L1311,yes,yes
Straus::multiscalar_mul_verus,curve25519_dalek::backend::serial::scalar_mul::straus,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/scalar_mul/straus.rs#L450,yes,
Straus::optional_multiscalar_mul_verus,curve25519_dalek::backend::serial::scalar_mul::straus,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/scalar_mul/straus.rs#L266,yes,
T::is_identity,curve25519_dalek::traits,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/traits.rs#L51,yes,
UnpackedScalar::invert,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L4666,yes,yes
UnpackedScalar::montgomery_invert,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L3950,yes,yes
UnpackedScalar::pack,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L3872,yes,yes
bot_half,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L2160,yes,yes
clamp_integer,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L4939,yes,yes
differential_add_and_double,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L1978,yes,yes
elligator_encode,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L1271,yes,yes
get_selected_backend,curve25519_dalek::backend,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/mod.rs#L70,yes,yes
load8_at,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L142,yes,yes
m,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L160,yes,yes
m,curve25519_dalek::backend::serial::u64::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/scalar.rs#L146,yes,yes
mul,curve25519_dalek::backend::serial::scalar_mul::variable_base,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/scalar_mul/variable_base.rs#L44,yes,yes
mul,curve25519_dalek::backend::serial::scalar_mul::vartime_double_base,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/scalar_mul/vartime_double_base.rs#L40,yes,
pippenger_optional_multiscalar_mul_verus,curve25519_dalek::backend,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/mod.rs#L378,yes,yes
read_le_u64_into,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L4871,yes,yes
square_multiply,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L3746,yes,yes
step_1,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L356,yes,yes
step_1,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L380,yes,
step_2,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L504,yes,yes
step_2,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L427,yes,
straus_multiscalar_mul_verus,curve25519_dalek::backend,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/mod.rs#L309,yes,yes
straus_optional_multiscalar_mul_verus,curve25519_dalek::backend,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/mod.rs#L342,yes,yes
top_half,curve25519_dalek::scalar,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/scalar.rs#L2181,yes,yes
variable_base_mul,curve25519_dalek::backend,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/mod.rs#L252,yes,yes
vartime_double_base_mul,curve25519_dalek::backend,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/mod.rs#L282,yes,yes
