function,module,link,has_spec,has_proof
BatchCompressState::from,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L747,yes,
CompletedPoint::as_extended,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L715,yes,
CompletedPoint::as_projective,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L588,yes,yes
CompressedEdwardsY::as_bytes,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L256,yes,yes
CompressedEdwardsY::ct_eq,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L233,yes,yes
CompressedEdwardsY::decompress,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L272,yes,yes
CompressedEdwardsY::default,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L854,yes,yes
CompressedEdwardsY::from_slice,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L866,yes,yes
CompressedEdwardsY::identity,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L766,yes,yes
CompressedEdwardsY::to_bytes,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L264,yes,yes
CompressedEdwardsY::try_from,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L620,yes,yes
CompressedEdwardsY::zeroize,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L974,yes,yes
CompressedRistretto::as_bytes,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L274,yes,yes
CompressedRistretto::ct_eq,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L255,yes,yes
CompressedRistretto::decompress,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L326,yes,
CompressedRistretto::default,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L501,yes,yes
CompressedRistretto::from_slice,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L282,yes,
CompressedRistretto::identity,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L317,yes,yes
CompressedRistretto::to_bytes,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L266,yes,yes
CompressedRistretto::zeroize,curve25519_dalek::ristretto,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/ristretto.rs#L2445,yes,yes
EdwardsBasepointTable::basepoint,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L3158,yes,yes
EdwardsBasepointTable::create,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L3048,yes,yes
EdwardsBasepointTable::mul_base,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L3244,yes,yes
EdwardsPoint::add_assign,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2072,yes,yes
EdwardsPoint::as_affine_niels,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1404,yes,yes
EdwardsPoint::as_projective,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1385,yes,yes
EdwardsPoint::as_projective_niels,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1282,yes,yes
EdwardsPoint::compress,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1623,yes,yes
EdwardsPoint::conditional_select,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1117,yes,yes
EdwardsPoint::ct_eq,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1177,yes,
EdwardsPoint::default,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L961,yes,yes
EdwardsPoint::double,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1908,yes,yes
EdwardsPoint::eq,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1253,yes,yes
EdwardsPoint::identity,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L903,yes,yes
EdwardsPoint::is_small_order,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L3761,yes,yes
EdwardsPoint::is_torsion_free,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L3805,yes,yes
EdwardsPoint::is_valid,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1013,yes,yes
EdwardsPoint::mul_assign,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2490,yes,yes
EdwardsPoint::mul_base,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2563,yes,yes
